Attached 3 probes
TIME     PID      COMM                 CAP  CAP_NAME             NOTE
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
264      1001928  splunkd              21   SYS_ADMIN            (non-runtime process)
